K;Ca;Mg;M.O.;MO1;MOC;MOD;logK;MOD1
0.52;7.24;0.87;21.71;2.17;alta;1;-0.653926504;0
0.59;4.41;0.98;26.75;2.68;alta;1;-0.527632787;0
0.22;3.2;0.71;22.56;2.26;alta;1;-1.514127738;0
0.2;2.9;0.86;19.19;1.92;Baja;0;-1.609437898;1
0.46;5.99;1.94;29.74;2.97;alta;1;-0.776528771;0
0.29;2.59;0.83;19.89;1.99;Baja;0;-1.237874385;1
0.33;4.49;0.76;20.86;2.09;alta;1;-1.108662585;0
0.45;5.99;0.9;24.71;2.47;alta;1;-0.798507723;0
0.27;3.09;0.64;19.61;1.96;Baja;0;-1.30933328;1
0.33;2.9;0.68;18.37;1.84;Baja;0;-1.108662585;1
0.37;5.1;0.89;22.27;2.23;alta;1;-0.99425226;0
0.31;4.99;0.9;23.13;2.31;alta;1;-1.171182974;0
0.4;4.93;0.74;24.13;2.41;alta;1;-0.916290717;0
0.53;5.74;1.04;22.98;2.3;alta;1;-0.634878326;0
0.31;5.8;1;28.98;2.9;alta;1;-1.171182974;0
0.4;5.3;0.8;24.13;2.41;alta;1;-0.916290717;0
0.43;5.61;0.88;25.44;2.54;alta;1;-0.843970054;0
0.37;4.29;0.84;22.7;2.27;alta;1;-0.99425226;0
0.53;5.94;0.9;24.42;2.44;alta;1;-0.634878326;0
0.35;2.94;0.96;15.52;1.55;Baja;0;-1.049822142;1
0.74;5.79;1.16;23.99;2.4;alta;1;-0.30110508;0
0.38;4.59;0.7;21.29;2.13;alta;1;-0.967584039;0
0.26;3.29;0.84;21.14;2.11;alta;1;-1.347073685;0
0.2;1.91;0.56;14.72;1.47;Baja;0;-1.609437898;1
0.27;4.34;0.9;21.29;2.13;alta;1;-1.30933328;0
0.33;3.94;1.02;21.71;2.17;alta;1;-1.108662585;0
0.28;4.39;0.9;24.28;2.43;alta;1;-1.272965672;0
0.85;5.4;1.04;20.03;2;alta;1;-0.162518901;0
0.33;3.91;0.94;18.92;1.89;Baja;0;-1.108662585;1
0.3;3.41;0.74;20.03;2;alta;1;-1.203972765;0
0.23;3.71;0.79;14.99;1.5;Baja;0;-1.469675952;1
0.33;3.91;1.01;21.57;2.16;alta;1;-1.108662585;0
0.3;3.3;0.78;20.03;2;alta;1;-1.203972765;0
0.21;3.74;0.68;18.37;1.84;Baja;0;-1.560647779;1
0.26;4.07;0.94;19.19;1.92;Baja;0;-1.347073685;1
0.62;6.51;1.06;25;2.5;alta;1;-0.478035793;0
0.42;5.21;0.99;22.7;2.27;alta;1;-0.867500599;0
